Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUyNDY4MzMyNzY1NDoxNjk3NTIxMDQ5OnNwX2J0ZjoyMDE1MzU1MDY0MjY5ODo6MDo6&url=%2FWALKENT-Bagpack-Waterproof-Function-Pockets%2Fdp%2FB09BVWXBFG%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"WALKENT ARCTIC HUNTER Premium 15.6"" Laptop Bag, Waterpoof, Side Bottle Pocket, Stylish Backpack for Office, College, Travel, Men, Women - Aura, 25L, 1 Main Compartment","3,511",4.4 out of 5 stars,84
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMDUyNDY4MzMyNzY1NDoxNjk3NTIxMDQ5OnNwX2J0ZjozMDAwNDgyMTIzNjU2MzI6OjA6Og&url=%2FGRAND-PITSTOP-GRPack-Waterproof-Backpack%2Fdp%2FB09R1VJKY8%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521049%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"GRAND PITSTOP GRPack NightWing Anti Theft Backpack With safety flashers for 15.6 inch Laptop Compartment, Light Weight, Quick Access Pockets, Water Resistant Multifunctional Backpack 25 L",349,4.2 out of 5 stars,"1,052"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODgxNDE2Mjk5NTE0NjU0OjE2OTc1MjEwNTE6c3BfYXRmX25leHQ6MzAwMDY4NjAyNTUxMzMyOjowOjo&url=%2FGenie-Flamenco2-Backpack-Compatible-Resistant%2Fdp%2FB08YF9VHTY%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521051%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Genie Flamenco2 Casual Backpacks for Women,649,4.4 out of 5 stars,"1,632"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODgxNDE2Mjk5NTE0NjU0OjE2OTc1MjEwNTE6c3BfYXRmX25leHQ6MjAwNjM3ODI0MzIwOTg6OjA6Og&url=%2FBackpack-Business-Water-resistant-Anti-theft-Charging%2Fdp%2FB0B6FLWDW9%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697521051%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag Shockproof PU Coating Water-resistant Anti-theft 25L Padded Backpack for Office College and Daily Use,Black","3,599",4.9 out of 5 stars,17
https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1697521051&sprefix=ba%2Caps%2C283&sr=8-35,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",799,4.2 out of 5 stars,"3,733"
https://www.amazon.in/Weekender-Travel-Backpack-Organizer-Handles/dp/B0B34WJK3X/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1697521051&sprefix=ba%2Caps%2C283&sr=8-36,"FUR JADEN 40L Weekender Travel Laptop Backpack with Anti Theft Pocket, Organizer, 15.6 Inch Padded Laptop Sleeve and Dual Handles","1,099",4.3 out of 5 stars,"1,184"
https://www.amazon.in/gp/bestsellers/luggage/2917436031/ref=sr_bs_4_2917436031_1,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",229,4.1 out of 5 stars,"10,262"
https://www.amazon.in/Impulse-Diggy-Backpack-Business-Resistant/dp/B0CJHV6RTS/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1697521051&sprefix=ba%2Caps%2C283&sr=8-38,Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,399,4.1 out of 5 stars,21
https://www.amazon.in/POLE-STAR-Polyester-Backpack-Compartment/dp/B07D6NXR2Q/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1697521051&sprefix=ba%2Caps%2C283&sr=8-39,"POLESTAR Amaze 15.6 inch 30 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,4.0 out of 5 stars,"6,169"
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1697521051&sprefix=ba%2Caps%2C283&sr=8-40,AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,849,3.8 out of 5 stars,"2,269"
